Compared_TF overlap proportion_of_compared_TF
wgEncodeHaibTfbsGm12878Cebpbsc150V0422111PkRep2.broadPeak 3577 812 0.227005870841
wgEncodeHaibTfbsHepg2NrsfPcr2xPkRep2.broadPeak 4677 793 0.16955313235
wgEncodeSydhTfbsGm18526NfkbTnfaIggrabPk.narrowPeak 1915 777 0.405744125326
wgEncodeSydhTfbsK562Znf274m01UcdPk.narrowPeak 5858 777 0.132639125982
wgEncodeHaibTfbsPanc1NrsfPcr2xPkRep1.broadPeak 5797 772 0.133172330516
wgEncodeHaibTfbsGm12878NrsfPcr2xPkRep2.broadPeak 5199 749 0.14406616657
wgEncodeHaibTfbsPfsk1NrsfPcr2xPkRep1.broadPeak 4575 742 0.16218579235
wgEncodeHaibTfbsHepg2Atf3V0416101PkRep2.broadPeak 958 732 0.764091858038
wgEncodeHaibTfbsK562SrfV0416101PkRep2.broadPeak 2028 725 0.357495069034
wgEncodeHaibTfbsHepg2SrfV0416101PkRep1.broadPeak 2320 712 0.306896551724
wgEncodeHaibTfbsHl60NrsfV0422111PkRep2.broadPeak 4430 697 0.157336343115
wgEncodeHaibTfbsHepg2Zbtb33Pcr1xPkRep1.broadPeak 11994 687 0.0572786393197
wgEncodeHaibTfbsHepg2Zbtb33Pcr1xPkRep2.broadPeak 11072 666 0.060151734104
wgEncodeHaibTfbsK562Zbtb33Pcr1xPkRep1.broadPeak 10490 658 0.062726406101
wgEncodeHaibTfbsPanc1NrsfPcr2xPkRep2.broadPeak 4986 658 0.131969514641
wgEncodeHaibTfbsSknshMef2aV0422111PkRep1.broadPeak 6109 656 0.107382550336
wgEncodeHaibTfbsHepg2Hnf4gsc6558V0416101PkRep2.broadPeak 6858 651 0.0949256342957
wgEncodeHaibTfbsPanc1NrsfV0422111PkRep1.broadPeak 2873 648 0.225548207449
wgEncodeHaibTfbsHct116NrsfV0422111PkRep2.broadPeak 3347 646 0.193008664476
wgEncodeSydhTfbsK562Gata2UcdPk.narrowPeak 5518 643 0.116527727437
wgEncodeHaibTfbsHepg2NrsfPcr2xPkRep1.broadPeak 3289 642 0.19519610824
wgEncodeHaibTfbsU87NrsfPcr2xPkRep1V2.broadPeak 2510 638 0.254183266932
wgEncodeHaibTfbsGm12878BatfPcr1xPkRep1.broadPeak 26104 633 0.0242491572173
wgEncodeHaibTfbsGm12878P300Pcr1xPkRep2.broadPeak 8431 625 0.0741311825406
wgEncodeHaibTfbsU87NrsfPcr2xPkRep1.broadPeak 2740 614 0.224087591241
wgEncodeSydhTfbsHepg2Irf3IggrabPk.narrowPeak 997 605 0.606820461384
wgEncodeHaibTfbsGm12878RxraPcr1xPkRep2.broadPeak 1127 600 0.532386867791
wgEncodeSydhTfbsHepg2CebpzIggrabPk.narrowPeak 3232 597 0.184715346535
wgEncodeSydhTfbsGm12878NfkbTnfaIggrabPk.narrowPeak 6558 586 0.0893565111314
wgEncodeHaibTfbsHct116NrsfV0422111PkRep1.broadPeak 2735 581 0.212431444241
wgEncodeHaibTfbsSknshP300V0422111PkRep2.broadPeak 6697 575 0.085859340003
wgEncodeHaibTfbsHct116Tead4sc101184V0422111PkRep1.broadPeak 2637 574 0.217671596511
wgEncodeSydhTfbsGm12878Spt20StdPk.narrowPeak 14743 572 0.0387980736621
wgEncodeSydhTfbsGm12878Srebp2IggrabPk.narrowPeak 592 572 0.966216216216
wgEncodeSydhTfbsImr90Rfx5IggrabPk.narrowPeak 1836 552 0.300653594771
wgEncodeHaibTfbsHct116SrfV0422111PkRep2.broadPeak 2422 543 0.224194880264
wgEncodeHaibTfbsGm12878Bcl3V0416101PkRep2.broadPeak 7329 540 0.0736799017601
wgEncodeHaibTfbsHepg2Bhlhe40V0416101PkRep2.broadPeak 1402 526 0.37517831669
wgEncodeSydhTfbsK562Atf3StdPk.narrowPeak 634 522 0.82334384858
wgEncodeHaibTfbsK562Six5V0416101PkRep1.broadPeak 789 518 0.656527249683
wgEncodeHaibTfbsGm12878Ets1Pcr1xPkRep1V2.broadPeak 1188 508 0.427609427609
wgEncodeSydhTfbsHelas3Rpc155StdPk.narrowPeak 2712 503 0.185471976401
wgEncodeHaibTfbsHct116Tead4sc101184V0422111PkRep2.broadPeak 2203 500 0.226963231956
wgEncodeHaibTfbsHepg2RxraPcr1xPkRep1.broadPeak 10268 499 0.0485975847293
wgEncodeSydhTfbsHepg2Srebp1InslnStdPk.narrowPeak 621 478 0.769726247987
wgEncodeHaibTfbsK562Mef2aV0416101PkRep1.broadPeak 3287 466 0.1417706115
wgEncodeSydhTfbsK562Gata1bIggmusPk.narrowPeak 7494 461 0.0615158793702
wgEncodeHaibTfbsHepg2Nr2f2sc271940V0422111PkRep2.broadPeak 5417 460 0.0849178512092
wgEncodeHaibTfbsEcc1EraaV0416102Bpa1hPkRep2.broadPeak 2226 459 0.206199460916
wgEncodeHaibTfbsGm12878SrfPcr2xPkRep1.broadPeak 3677 459 0.124830024476
wgEncodeSydhTfbsHepg2Tcf7l2UcdPk.narrowPeak 12940 458 0.0353941267388
wgEncodeSydhTfbsK562CjunIfng30StdPk.narrowPeak 3432 454 0.132284382284
wgEncodeHaibTfbsK562Bcl3Pcr1xPkRep2.broadPeak 1348 446 0.330860534125
wgEncodeSydhTfbsGm12878Tr4StdPk.narrowPeak 1530 440 0.287581699346
wgEncodeHaibTfbsK562Mef2aV0416101PkRep2.broadPeak 2229 433 0.194257514581
wgEncodeHaibTfbsPanc1NrsfV0416101PkRep1.broadPeak 1169 429 0.366980325064
wgEncodeHaibTfbsSknshNrsfPcr2xPkRep1.broadPeak 1439 427 0.296733842946
wgEncodeHaibTfbsK562Stat5asc74442V0422111PkRep2.broadPeak 8808 418 0.0474568574024
wgEncodeHaibTfbsEcc1EraaV0416102Bpa1hPkRep1.broadPeak 2595 413 0.1591522158
wgEncodeHaibTfbsK562Gata2sc267Pcr1xPkRep2.broadPeak 6189 407 0.0657618355146
wgEncodeHaibTfbsK562Trim28sc81411V0422111PkRep2.broadPeak 4788 382 0.0797827903091
wgEncodeHaibTfbsSknshRxraV0422111PkRep2.broadPeak 2495 380 0.152304609218
wgEncodeSydhTfbsHepg2Hsf1ForsklnStdPk.narrowPeak 591 375 0.634517766497
wgEncodeHaibTfbsHepg2Zeb1V0422111PkRep2.broadPeak 1525 365 0.239344262295
wgEncodeSydhTfbsH1hescSuz12UcdPk.narrowPeak 5570 350 0.0628366247756
wgEncodeHaibTfbsA549GrPcr1xDex500pmPkRep1.broadPeak 1363 328 0.240645634629
wgEncodeHaibTfbsSknshFoxm1sc502V0422111PkRep2.broadPeak 2174 326 0.14995400184
wgEncodeSydhTfbsGm12878Yy1StdPk.narrowPeak 759 322 0.424242424242
wgEncodeHaibTfbsHct116Atf3V0422111PkRep1.broadPeak 1069 317 0.296538821328
wgEncodeHaibTfbsHepg2Nr2f2sc271940V0422111PkRep1.broadPeak 3700 315 0.0851351351351
wgEncodeSydhTfbsK562NelfeStdPk.narrowPeak 298 294 0.986577181208
wgEncodeHaibTfbsHct116Atf3V0422111PkRep2.broadPeak 1190 284 0.238655462185
wgEncodeSydhTfbsK562Tr4UcdPk.narrowPeak 358 282 0.787709497207
wgEncodeSydhTfbsK562CjunIfna6hStdPk.narrowPeak 1708 278 0.162763466042
wgEncodeSydhTfbsK562Irf1Ifna30StdPk.narrowPeak 2849 268 0.0940680940681
wgEncodeSydhTfbsNt2d1Suz12UcdPk.narrowPeak 917 265 0.288985823337
wgEncodeSydhTfbsK562Nfe2StdPk.narrowPeak 1227 261 0.21271393643
wgEncodeHaibTfbsA549Foxa1V0416102Dex100nmPkRep1.broadPeak 3108 259 0.0833333333333
wgEncodeSydhTfbsK562Rpc155StdPk.narrowPeak 746 254 0.340482573727
wgEncodeSydhTfbsPbdefetalGata1UcdPk.narrowPeak 3462 250 0.0722125938764
wgEncodeOpenChromChipH1hescCmycPk.narrowPeak 20692 234 0.0113087183453
wgEncodeSydhTfbsK562CjunIfng6hStdPk.narrowPeak 2052 225 0.109649122807
wgEncodeSydhTfbsGm12878MaxStdPk.narrowPeak 437 220 0.503432494279
wgEncodeHaibTfbsK562Bcl3Pcr1xPkRep1.broadPeak 913 219 0.23986856517
wgEncodeSydhTfbsK562Gata1UcdPk.narrowPeak 1704 200 0.117370892019
wgEncodeHaibTfbsSknshFoxm1sc502V0422111PkRep1.broadPeak 1936 199 0.102789256198
wgEncodeHaibTfbsA549Foxa1V0416102Dex100nmPkRep2.broadPeak 3703 197 0.0532001080205
wgEncodeSydhTfbsGm12878Zzz3StdPk.narrowPeak 713 194 0.272089761571
wgEncodeSydhTfbsK562Bdp1StdPk.narrowPeak 340 194 0.570588235294
wgEncodeSydhTfbsHelas3Bdp1StdPk.narrowPeak 515 185 0.359223300971
wgEncodeHaibTfbsGm12878Mef2csc13268V0416101PkRep1.broadPeak 968 184 0.190082644628
wgEncodeSydhTfbsHepg2Grp20ForsklnStdPk.narrowPeak 176 184 1.04545454545
wgEncodeSydhTfbsK562Stat1Ifng6hStdPk.narrowPeak 699 184 0.263233190272
wgEncodeHaibTfbsH1hescBcl11aV0416102PkRep2.broadPeak 1516 178 0.117414248021
wgEncodeHaibTfbsH1hescNanogsc33759V0416102PkRep1.broadPeak 4723 178 0.0376879102266
wgEncodeHaibTfbsH1hescBcl11aPcr1xPkRep1.broadPeak 2172 170 0.0782688766114
